# u, v, weight
0, 7, 6.0
0, 9, 8.0
0, 13, 3.0
0, 15, 11.0
0, 22, 6.0
1, 6, 4.0
1, 14, 15.0
1, 21, 7.0
2, 5, 8.0
2, 6, 3.0
2, 8, 16.0
2, 9, 11.0
2, 15, 10.0
2, 19, 4.0
2, 21, 8.0
4, 8, 2.0
4, 12, 2.0
4, 21, 12.0
5, 7, 3.0
5, 9, 11.0
5, 15, 8.0
5, 19, 8.0
5, 21, 10.0
6, 8, 17.0
6, 19, 3.0
6, 21, 9.0
7, 9, 12.0
7, 15, 7.0
7, 17, 12.0
7, 21, 11.0
7, 22, 6.0
8, 9, 7.0
8, 12, 2.0
8, 13, 12.0
8, 21, 12.0
9, 13, 9.0
9, 17, 12.0
9, 19, 13.0
9, 21, 11.0
11, 13, 5.0
11, 15, 17.0
11, 17, 2.0
11, 22, 12.0
12, 17, 9.0
13, 17, 5.0
14, 15, 4.0
14, 19, 10.0
14, 22, 9.0
15, 19, 10.0
15, 22, 7.0
